Name,Role/Group,Birthdate,Notes
Chad Wild Clay,Spy Ninjas / YouTube,1984-03-10,
Vy Qwaint,Spy Ninjas / YouTube,1986-01-03,
Daniel Gizmo (Daniel Ferri),Spy Ninjas / YouTube,1993-10-15,
Regina Ginera,Spy Ninjas / YouTube,1998-11-19,
Adley McBride,A for Adley,2015-08-05,
Shaun McBride (Shonduras),A for Adley,1987-07-07,
Cristina Vee,Miraculous (Ladybug),1987-07-11,
Bryce Papenbrook,Miraculous (Cat Noir),1986-02-24,
Keith Silverstein,Miraculous (Hawk Moth),1970-12-24,
Stephen Sharer,YouTube/Music,1998-03-01,
Grace Sharer,YouTube,2000-03-11,
Carter Sharer,YouTube,1993-10-23,
